date,platform,rating,review,theme
2026-06-01,네이버,5,치즈케이크가 진짜 인생 디저트예요 또 올게요,맛
2026-06-02,카카오,5,크로플 겉바속촉 최고 커피도 향이 좋아요,맛
2026-06-03,구글,4,분위기 아늑하고 콘센트 많아서 카공하기 좋아요,분위기
2026-06-04,네이버,2,주말에 갔는데 디저트 사려고 30분 넘게 기다렸어요,대기시간
2026-06-05,카카오,5,사장님이 친절하시고 추천 메뉴가 다 맛있었어요,친절
2026-06-06,구글,3,맛은 좋은데 주말 오후라 자리가 없어서 아쉬웠어요,대기시간
2026-06-07,네이버,1,웨이팅이 너무 길어요 한참 서서 기다리다 그냥 나왔습니다,대기시간
2026-06-08,카카오,4,바닐라라떼 맛있고 디저트 종류가 다양했으면 좋겠어요,맛
2026-06-09,구글,5,성수동 디저트 맛집 치즈케이크 강추합니다,맛
2026-06-10,네이버,2,가격이 동네 카페치고 조금 비싼 편이에요,가격
2026-06-11,카카오,5,아메리카노랑 초코쿠키 조합 최고 또 방문할게요,맛
2026-06-12,구글,4,인테리어 깔끔하고 직원분들 응대가 좋았어요,친절
2026-06-13,네이버,1,주말 웨이팅 실화인가요 30분 기다려서 디저트는 품절,대기시간
2026-06-14,카카오,3,맛은 만족하는데 좌석이 적어서 늘 붐벼요,대기시간
2026-06-15,구글,5,크로플 시그니처 맞네요 겉바속촉 또 먹고싶어요,맛
2026-06-16,네이버,2,음료 가격이 조금 부담스러워요 디저트는 맛있음,가격
2026-06-17,카카오,4,조용하고 작업하기 좋은데 주말은 사람이 많아요,분위기
2026-06-18,구글,5,사장님 추천대로 시켰는데 다 맛있었어요 친절해요,친절
2026-06-19,네이버,1,테이블 정리가 안 되어 있어서 좀 지저분했어요,청결
2026-06-20,카카오,3,디저트는 훌륭한데 주말 대기줄이 너무 길어요,대기시간
